n_params	params	my_signal_loss	monai_signal_loss	my_time	monai_time
2	['translate_params', 'rotate_params']	344.74484	663.9402	0.5068099498748779	1.4496099948883057
2	['rotate_params', 'translate_params']	479.9633	579.9561	0.5879979133605957	1.4445881843566895
3	['flip_params', 'shear_params', 'translate_params']	362.2686	570.5524	0.4847068786621094	1.4384570121765137
3	['rotate_params', 'shear_params', 'translate_params']	345.281	733.8096	0.5762579441070557	2.0556139945983887
3	['translate_params', 'scale_params', 'shear_params']	369.32278	897.587	0.4744720458984375	1.6974167823791504
3	['rotate_params', 'flip_params', 'scale_params']	340.30493	784.96643	0.5346872806549072	0.730767011642456
3	['shear_params', 'flip_params', 'scale_params']	426.92294	873.69116	0.478924036026001	1.0871150493621826
3	['shear_params', 'scale_params', 'rotate_params']	1286.8729	1796.7417	0.5904676914215088	1.3736939430236816
3	['translate_params', 'shear_params', 'flip_params']	370.49405	475.6465	0.469074010848999	1.4999916553497314
3	['rotate_params', 'translate_params', 'scale_params']	378.7197	1486.8618	0.48468613624572754	1.526991844177246
3	['rotate_params', 'shear_params', 'flip_params']	354.55673	555.6044	0.49797773361206055	1.087388277053833
3	['translate_params', 'flip_params', 'scale_params']	308.26416	753.57385	0.47017598152160645	1.124500036239624
3	['rotate_params', 'translate_params', 'flip_params']	342.5428	556.3254	0.4996471405029297	1.3529460430145264
3	['rotate_params', 'shear_params', 'flip_params']	347.1409	554.41626	0.6205272674560547	1.1494500637054443
3	['shear_params', 'translate_params', 'rotate_params']	352.79608	672.66864	0.4700641632080078	1.9966871738433838
3	['translate_params', 'scale_params', 'rotate_params']	641.2008	1005.6272	0.520125150680542	1.6690092086791992
3	['rotate_params', 'flip_params', 'translate_params']	348.25595	632.4312	0.5033290386199951	1.3900458812713623
3	['translate_params', 'flip_params', 'shear_params']	363.89038	665.909	0.4728739261627197	1.5005102157592773
3	['shear_params', 'flip_params', 'rotate_params']	347.54504	737.5183	0.5648398399353027	1.1616263389587402
3	['scale_params', 'translate_params', 'flip_params']	421.3544	833.1528	0.4675900936126709	1.1518371105194092
3	['shear_params', 'translate_params', 'scale_params']	415.00244	971.48376	0.47898387908935547	1.7400691509246826
3	['translate_params', 'flip_params', 'rotate_params']	350.11746	554.10443	0.4650852680206299	1.4020419120788574
3	['flip_params', 'shear_params', 'rotate_params']	346.5604	555.24225	0.5653619766235352	1.2340309619903564
3	['rotate_params', 'shear_params', 'flip_params']	347.44403	554.90393	0.4939877986907959	1.0904359817504883
3	['shear_params', 'rotate_params', 'scale_params']	316.4843	875.17664	0.6016860008239746	1.3752079010009766
3	['flip_params', 'translate_params', 'scale_params']	393.20197	818.84247	0.4591658115386963	1.12760591506958
