n_params,,my_signal_loss,monai_signal_loss,my_time,monai_time,,,,
5,['scale_params', 'rotate_params', 'flip_params', 'translate_params', 'shear_params'],359.8657,957.56287,0.51817894,2.363247156
5,['translate_params', 'flip_params', 'rotate_params', 'shear_params', 'scale_params'],3446.88,3893.9673,0.648190975,2.280915976
5,['translate_params', 'flip_params', 'scale_params', 'rotate_params', 'shear_params'],1076.0415,1667.0992,0.525485992,2.136189938
5,['rotate_params', 'flip_params', 'shear_params', 'scale_params', 'translate_params'],7455.3975,7732.4824,0.554472923,2.298233986
5,['scale_params', 'shear_params', 'rotate_params', 'translate_params', 'flip_params'],407.28418,1021.1998,0.588479996,2.32090497
5,['flip_params', 'shear_params', 'scale_params', 'translate_params', 'rotate_params'],400.57623,1035.7108,0.701526165,2.324853897
5,['rotate_params', 'translate_params', 'flip_params', 'shear_params', 'scale_params'],406.99847,1009.8207,0.533535957,2.166242123
5,['flip_params', 'translate_params', 'scale_params', 'rotate_params', 'shear_params'],5483.6562,5921.9976,0.496645689,2.341841936
5,['shear_params', 'flip_params', 'rotate_params', 'translate_params', 'scale_params'],381.469,1108.4061,0.723203182,2.439934254
5,['translate_params', 'flip_params', 'rotate_params', 'shear_params', 'scale_params'],4326.147,4833.607,0.492520094,2.123345852
5,['flip_params', 'rotate_params', 'shear_params', 'scale_params', 'translate_params'],394.68707,1066.7333,0.496125937,2.10934782
5,['scale_params', 'shear_params', 'flip_params', 'rotate_params', 'translate_params'],3508.8682,3912.6252,0.485945225,2.162300825
5,['translate_params', 'flip_params', 'shear_params', 'scale_params', 'rotate_params'],3521.4612,4060.1948,0.511597157,2.287133217
5,['translate_params', 'scale_params', 'rotate_params', 'shear_params', 'flip_params'],441.03766,1084.2864,0.482060194,2.381078005
5,['scale_params', 'shear_params', 'translate_params', 'rotate_params', 'flip_params'],329.2838,987.5887,0.479802132,2.170232058
5,['flip_params', 'rotate_params', 'shear_params', 'translate_params', 'scale_params'],434.76498,1067.4824,0.52813077,2.154177189
5,['flip_params', 'rotate_params', 'translate_params', 'scale_params', 'shear_params'],1847.2828,2437.4785,0.475082874,2.155906916
5,['flip_params', 'translate_params', 'rotate_params', 'scale_params', 'shear_params'],418.41302,1435.4681,0.465251923,2.138345003
5,['rotate_params', 'flip_params', 'shear_params', 'scale_params', 'translate_params'],371.7751,1066.9938,0.482849121,2.165094852
5,['flip_params', 'scale_params', 'translate_params', 'shear_params', 'rotate_params'],834.1905,1356.2913,0.625398636,2.306064129
5,['shear_params', 'flip_params', 'rotate_params', 'translate_params', 'scale_params'],524.6858,1344.6664,0.520976067,2.148367167
5,['flip_params', 'shear_params', 'scale_params', 'rotate_params', 'translate_params'],2018.7112,2563.139,0.534024954,2.20761776
5,['translate_params', 'flip_params', 'shear_params', 'scale_params', 'rotate_params'],2539.0469,2983.2014,0.50246501,2.152569056
5,['scale_params', 'rotate_params', 'translate_params', 'shear_params', 'flip_params'],407.49866,1071.6422,0.505213022,2.176227093
5,['translate_params', 'shear_params', 'flip_params', 'rotate_params', 'scale_params'],319.2226,972.4573,0.507621765,2.278165102
5,['translate_params', 'rotate_params', 'flip_params', 'scale_params', 'shear_params'],368.03412,1263.8917,0.483834982,2.160251141
5,['shear_params', 'scale_params', 'translate_params', 'rotate_params', 'flip_params'],687.0524,3164.9883,0.51229167,2.166100979
5,['flip_params', 'rotate_params', 'shear_params', 'translate_params', 'scale_params'],1236.7429,1684.014,0.520215034,2.361411095
5,['flip_params', 'translate_params', 'shear_params', 'scale_params', 'rotate_params'],382.60464,1598.9886,0.477101803,2.206400156
5,['rotate_params', 'flip_params', 'translate_params', 'shear_params', 'scale_params'],345.0082,1005.1446,0.483838081,2.184144735
5,['scale_params', 'rotate_params', 'translate_params', 'flip_params', 'shear_params'],1528.1102,2070.3599,0.508121014,2.236264229
